date,name,name_is,name_en,type,parent,parent_is,parent_en,hierarchy_level,value
2003-09-30,Aðrar erlendar eignir  / Other foreign assets,Aðrar erlendar eignir ,Other foreign assets,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,129135.026
2003-09-30,Aðrar innlendar eignir / Other domestic assets,Aðrar innlendar eignir,Other domestic assets,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,119996.646
2003-09-30,EIGNIR / ASSETS:,EIGNIR,ASSETS:,asset,,,,1,1478313.204
2003-09-30,Erlend verðbréf Seðlabanka / Central Bank's foreign securities,Erlend verðbréf Seðlabanka,Central Bank's foreign securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,27742.337
2003-09-30,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,asset,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",3,93374.22477
2003-09-30,"Erlendar eignir, alls / Foreign assets, total 2","Erlendar eignir, alls","Foreign assets, total 2",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,250251.5878
2003-09-30,"Fjármálafyrirtæki, önnur en bankar / Non-bank financial institutions","Fjármálafyrirtæki, önnur en bankar",Non-bank financial institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,0.0
2003-09-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,63240.59
2003-09-30,Hlutabréf / Equities,Hlutabréf,Equities,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,9869.758
2003-09-30,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,asset,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",3,1108064.97
2003-09-30,"Innlendar eignir, alls / Domestic assets, total","Innlendar eignir, alls","Domestic assets, total",asset,EIGNIR / ASSETS:,EIGNIR,ASSETS:,2,1228061.616
2003-09-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,1106848.244
2003-09-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,189146.994
2003-09-30,Markaðsskuldabréf / Marketable bonds,Markaðsskuldabréf,Marketable bonds,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,2665.941
2003-09-30,Ríkissjóður og ríkisstofnanir / Treasury and Government institutions,Ríkissjóður og ríkisstofnanir,Treasury and Government institutions,asset,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,1216.726
2003-09-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,asset,Innlend útlán og markaðsverðbréf / Domestic lending and marketable securities,Innlend útlán og markaðsverðbréf,Domestic lending and marketable securities,4,1216.726
2003-09-30,Útlán / Lending 3,Útlán,Lending 3,asset,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,854460.6602
2003-09-30,Útlán / Lending 3,Útlán,Lending 3,asset,Erlend útlán og markaðsverðbréf innlánsstofnana / Deposit taking corporations foreign lending and marketable securities,Erlend útlán og markaðsverðbréf innlánsstofnana,Deposit taking corporations foreign lending and marketable securities,4,80838.52577
2003-09-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,311291.02
2003-09-30,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,220757.968
2003-09-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,3502.36
2003-09-30,Aðrar skuldir ót.a.st. / Other liabilities,Aðrar skuldir ót.a.st.,Other liabilities,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,73946.661
2003-09-30,Eigið fé  / Total equity and minority interest,Eigið fé ,Total equity and minority interest,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,93386.581
2003-09-30,Eigið fé / Capital and reserves,Eigið fé,Capital and reserves,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,40253.908
2003-09-30,Erlend verðbréfaútgáfa innlánsstofnana / Deposit taking corporations foreign bond issues,Erlend verðbréfaútgáfa innlánsstofnana,Deposit taking corporations foreign bond issues,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,381382.16
2003-09-30,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,610113.128
2003-09-30,Innlendar beinar lántökur / Domestic direct borrowing,Innlendar beinar lántökur,Domestic direct borrowing,liability,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,5,70822.865
2003-09-30,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",liability,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,2,868200.076
2003-09-30,Innlán erlendra aðila í innlánsstofnunum / Non-residents' deposits in deposit taking corporations,Innlán erlendra aðila í innlánsstofnunum,Non-residents' deposits in deposit taking corporations,liability,"Erlendar skuldir, alls / Foreign liabilities, total 2","Erlendar skuldir, alls","Foreign liabilities, total 2",3,7973.0
2003-09-30,Innlán innlendra aðila í innlánsstofnunum / Residents' deposits in deposit taking corporations,Innlán innlendra aðila í innlánsstofnunum,Residents' deposits in deposit taking corporations,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,461661.254
2003-09-30,Innlánsstofnanir / DMBs,Innlánsstofnanir,DMBs,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,218771.853
2003-09-30,Innlánsstofnanir / Deposit taking corporations,Innlánsstofnanir,Deposit taking corporations,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,238156.107
2003-09-30,Ríkissjóður og ríkisstofnanir / Treasury and government institutions,Ríkissjóður og ríkisstofnanir,Treasury and government institutions,liability,Seðlabanki / Central Bank,Seðlabanki,Central Bank,5,29378.645
2003-09-30,SKULDIR / LIABILITIES:,SKULDIR,LIABILITIES:,liability,,,,1,1478313.204
2003-09-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,73134.913
2003-09-30,Seðlabanki / Central Bank,Seðlabanki,Central Bank,liability,Aðrar skuldir / Other liabilities,Aðrar skuldir,Other liabilities,4,1986.115
2003-09-30,Seðlar og mynt í umferð / Notes and coin in circulation,Seðlar og mynt í umferð,Notes and coin in circulation,liability,"Innlendar skuldir, alls / Domestic liabilities, total","Innlendar skuldir, alls","Domestic liabilities, total",3,7339.459
